currency,rate,date,time,buy,sell,shorthand
USDEUR=X,0.747,8/7/2014,9:54pm,0.747,0.747,USD to EUR
USDAUD=X,1.0755,8/7/2014,9:54pm,1.0752,1.0758,USD to AUD
USDCAD=X,1.0914,8/7/2014,9:54pm,1.0914,1.0915,USD to CAD
USDJPY=X,102.1745,8/7/2014,9:54pm,102.173,102.176,USD to JPY
USDGBP=X,0.5932,8/7/2014,9:54pm,0.5931,0.5932,USD to GBP
USDCHF=X,0.9074,8/7/2014,9:54pm,0.9073,0.9074,USD to CHF
USDHKD=X,7.7505,8/7/2014,9:54pm,7.7503,7.7507,USD to HKD
USDINR=X,61.415,8/7/2014,9:53pm,61.41,61.42,USD to INR
USDAED=X,3.6731,8/7/2014,9:53pm,3.6726,3.6736,USD to AED
USDMYR=X,3.204,8/7/2014,9:53pm,3.203,3.205,USD to MYR
USDCNY=X,6.1621,8/7/2014,9:53pm,6.1592,6.165,USD to CNY
USDTHB=X,32.21,8/7/2014,9:53pm,32.19,32.23,USD to THB
USDCLP=X,576.5,8/7/2014,9:53pm,576,577,USD to CLP
USDCZK=X,20.7625,8/7/2014,9:54pm,20.745,20.78,USD to CZK
USDDKK=X,5.5689,8/7/2014,9:54pm,5.5664,5.5714,USD to DKK
USDFJD=X,1.8529,8/7/2014,9:53pm,1.8479,1.8579,USD to FJD
USDHUF=X,235.83,8/7/2014,9:54pm,235.7,235.96,USD to HUF
USDIDR=X,11800,8/7/2014,9:53pm,11795,11805,USD to IDR
USDILS=X,3.4396,8/7/2014,9:54pm,3.4371,3.4421,USD to ILS
USDKRW=X,1033.65,8/7/2014,9:54pm,1033.6,1033.7,USD to KRW
USDMXN=X,13.2597,8/7/2014,9:54pm,13.2554,13.264,USD to MXN
USDNZD=X,1.1813,8/7/2014,9:54pm,1.1811,1.1815,USD to NZD
USDPHP=X,43.875,8/7/2014,9:53pm,43.86,43.89,USD to PHP
USDRUB=X,36.173,8/7/2014,9:54pm,36.082,36.264,USD to RUB
USDSGD=X,1.2487,8/7/2014,9:54pm,1.2487,1.2488,USD to SGD
USDSEK=X,6.891,8/7/2014,9:54pm,6.8892,6.8927,USD to SEK
USDTWD=X,29.9995,8/7/2014,9:53pm,29.977,30.022,USD to TWD
USDZAR=X,10.7247,8/7/2014,9:54pm,10.7164,10.7329,USD to ZAR
USDTRY=X,2.1602,8/7/2014,9:54pm,2.1595,2.161,USD to TRY
USDFJD=X,1.8529,8/7/2014,9:53pm,1.8479,1.8579,USD to FJD
